# %ECSV 0.9
# ---
# datatype:
# - {name: RA, unit: h, datatype: float64}
# - {name: DE, unit: deg, datatype: float64}
# - {name: Name, datatype: string, description: Source Name (1)}
# - {name: class, datatype: string}
# schema: astropy-2.0
RA DE Name class
1.9849999999999999 -68.0 J0541.5-6833 hmxb
1.7249999999999999 -66.0 0544-665 hmxb
1.5716666666666665 -71.0 J0544.1-710 hmxb
2.7449999999999997 28.0 0556+286 hmxb
1.4566666666666668 5.0 J0635+0533 hmxb
1.6766666666666665 -44.0 J0648.0-4419 hmxb
1.8233333333333335 -26.0 0726-260 hmxb
1.9583333333333333 -53.0 0739-529 hmxb
2.13 -61.0 0749-600 hmxb
0.8733333333333333 -31.0 J0812.4-3114 hmxb
2.0833333333333335 -43.0 0834-430 hmxb
0.18166666666666667 -40.0 0900-403 hmxb
1.0666666666666667 -58.0 J1008-57 hmxb
1.7766666666666666 -57.0 1024.0-5732 hmxb
1.375 -57.0 1036-565 hmxb
1.82 -56.0 J1037.5-5647 hmxb
1.7983333333333333 -59.0 1048.1-5937 hmxb
1.62 -61.0 1118-615 hmxb
0.9533333333333334 -60.0 1119-603 hmxb
1.6016666666666666 -62.0 1145-619 hmxb
2.043333333333333 -61.0 1145.1-6141 hmxb
1.4933333333333332 -62.0 1223-624 hmxb
1.4283333333333335 -60.0 1239-599 hmxb
2.15 -60.0 1244-604 hmxb
2.2333333333333334 -59.0 1246-588 hmxb
2.24 -63.0 1249-637 hmxb
1.55 -75.0 1253-761 hmxb
2.4166666666666665 -57.0 1255-567 hmxb
0.32 -61.0 1258-613 hmxb
1.2383333333333333 -62.0 J1324.4-6200 hmxb
0.9149999999999999 -62.0 1417-624 hmxb
2.555 -59.0 J1452.8-5949 hmxb
1.7883333333333333 -52.0 1538-522 hmxb
2.7199999999999998 -54.0 1553-542 hmxb
2.1666666666666665 -55.0 1555-552 hmxb
0.7983333333333333 -41.0 1657-415 hmxb
1.045 -37.0 1700-377 hmxb
0.08833333333333333 -41.0 J170006-4157 hmxb
1.75 -36.0 1722-363 hmxb
2.15 -30.0 J1739-302 hmxb
1.8016666666666665 -29.0 J1739.5-2942 hmxb
2.2233333333333336 -27.0 J1744.7-2713 hmxb
1.8016666666666665 -27.0 J1749.2-2725 hmxb
1.8333333333333333 -26.0 J1750-27 hmxb
1.0333333333333332 -10.0 1807-10 hmxb
1.1583333333333332 -14.0 J1820.5-1434 hmxb
1.115 -14.0 J1826.2-1450 hmxb
1.6816666666666666 -7.0 1833-076 hmxb
2.0666666666666664 -5.0 1839-06 hmxb
2.1666666666666665 -4.0 1839-04 hmxb
2.0 0.0 1843+009 hmxb
1.9666666666666666 -3.0 1845-03 hmxb
1.895 -2.0 1845-024 hmxb
2.25 -4.0 1845.0-0433 hmxb
1.9333333333333333 -2.0 1855-02 hmxb
2.533333333333333 -2.0 J1855-026 hmxb
2.533333333333333 3.0 J1858+034 hmxb
0.3333333333333333 3.0 1901+03 hmxb
0.5 9.0 J1906+09 hmxb
0.9316666666666666 9.0 1907+097 hmxb
1.1933333333333331 4.0 1909+048 hmxb
1.9383333333333332 53.0 1936+541 hmxb
2.1333333333333333 27.0 J1946+274 hmxb
2.2266666666666666 30.0 1947+300 hmxb
1.6 32.0 J1948+32 hmxb
2.555 32.0 1954+319 hmxb
2.295 35.0 1956+350 hmxb
1.3216666666666665 37.0 2030+375 hmxb
1.495 40.0 2030+407 hmxb
1.5099999999999998 47.0 J2030.5+4751 hmxb
1.9666666666666666 41.0 J2058+42 hmxb
0.65 45.0 J2103.5+4545 hmxb
1.8666666666666667 57.0 2138+568 hmxb
0.67 50.0 2202+501 hmxb
1.1833333333333333 54.0 2206+543 hmxb
1.4183333333333332 61.0 2214+589 hmxb
1.6483333333333334 61.0 J2239.3+6116 hmxb
