Id,Name,Type,RA,DE,GLON,GLAT,Opt,r_Opt,Vmag,B-V,U-B,E(B-V),r_Vmag,Fx,Range,r_Fx,Porb,Porb2,Ppulse,r_Ppulse,Cat,SpType,class
27,E 1603.6+2600,,241.44083333333333,25.8625,42.8,46.8,UW CrB,488,19.7,,,0.1,921,0.15,(0.3-3.2keV),921,1.85,,,921,"E,R",,lmxb
28,SAX J1603.9-7753,TB,240.97500000000002,-77.885,312.4,-18.7,,,,,,,,160.0,,933,,,,,B,,lmxb
29,4U 1608-522,TBA,243.17916666666667,-52.42305555555555,330.9,-0.9,QX Nor,"470,1382",,,,1.5,"470,1028",1.0,,103,,,,,"U,M,H,S,AS,C,X",,lmxb
30,1M 1617-155,Z,244.97958333333335,-15.640277777777778,359.1,23.8,V818 Sco,"447,1115",12.2,0.2,-0.8,0.15,"397,537,1379",14000.0,,1399,18.9,,,"442,727","U,M,A,H",,lmxb
31,4U 1624-490,D,247.01,-49.19027777777777,334.9,-0.3,,1072,,,,7.0,1404,55.0,,1399,21.0,,,640,"U,M,A,H,S,X,B",,lmxb
32,4U 1627-673,P,248.07,-67.46194444444444,321.8,-13.1,KZ TrA,"105,633",18.5,0.1,-1.2,0.1,"861,1348",25.0,,872,0.69,,7.7,"891,943","U,M,A,H,S,B,R,AS,C,X,Exo",,lmxb
33,4U 1630-472,TUD,248.50166666666664,-47.39416666666666,336.9,0.3,,997,,,,4.5,997,2.0,,103,,,,,"U,M,A,C,X,B,G,E",,lmxb
34,KS 1632-477,,249.1166666666667,-47.82694444444445,336.9,-0.4,,,,,,,,13.0,,611,,,,,K,,lmxb
35,4U 1636-536,BA,250.23125000000002,-53.75138888888889,332.9,-4.8,V801 Ara,633,17.5,0.7,-0.7,0.8,"730,861",220.0,,1399,3.8,,,1354,"U,M,A,H,S,X,Exo",,lmxb
36,1M 1642-455,Z,251.44875,-45.611111111111114,339.6,-0.1,,8,,,,12.0,527,500.0,,1399,,,,,"U,M,A,H,S,X",,lmxb
37,GRO J1655-40,TD,253.5005708333333,-39.84580555555556,345.0,2.5,*1,"30,1324",14.2,1.0,,1.1,"30,593",1600.0,(2-12keV),1076,62.88,,,"30,1323","C,AS,X,R,Gr",,lmxb
38,1M 1656+354,P,254.4575,35.3425,58.2,37.5,HZ Her,"326,447",13.0,-0.2,-0.9,0.05,"100,483",15.0,,"872,1448",40.8,,1.24,"297,943","U,M,A,H,G,X,B,AS",,lmxb
39,3A 1658-298,TBD,255.52625000000003,-29.945833333333333,353.8,7.3,V2134 Oph,330,18.3,0.45,-0.4,0.3,"330,954",5.0,,103,7.11,,,228,"A,H,X",,lmxb
40,4U 1659-487,TU,255.70625000000004,-48.78972222222222,338.9,-4.3,V821 Ara,"122,330",15.5,0.8,-0.1,1.1,"252,800,1348",1.5,,"603,912",14.83,,,"122,582","U,M,A,H,K,B,X,C",,lmxb
41,1M 1702-363,Z,256.43541666666664,-36.422777777777775,349.1,2.7,*6,"234,1026",18.6,1.5,,1.3,"234,1026",825.0,,1399,21.85,22.5,,"55,1383,1384","U,M,A,H,S,X",,lmxb
42,4U 1702-429,BA,256.56375,-43.03611111111111,343.9,-1.3,,527,,,,2.5,527,45.0,,"634,970",,,,,"U,M,S,X",,lmxb
43,1RX 1704+240,,256.6441666666667,23.971666666666664,45.2,33.0,HD 154791,403,7.8,1.3,2.1,0.3,403,0.5,,103,,,,,"A,H,R",,lmxb
44,3A 1705-250,T,257.06083333333333,-25.091388888888886,358.2,9.1,V2107 Oph,462,15.9,0.6,,0.5,462,2.0,,103,12.5,,,"366,1077","A,H",,lmxb
45,4U 1705-440,BA,257.22791666666666,-44.10055555555556,343.8,-2.3,,1072,,,,2.0,722,10.0,,"722,1399",,,,,"U,M,A,S",,lmxb
46,1H 1708-408,,258.0958333333333,-40.843333333333334,346.3,-0.9,,,,,,,,32.0,,611,,,,,"U,M,A,H",,lmxb
47,XTE J1709-267,TB,257.3758333333333,-26.6575,357.5,7.9,,,,,,,,150.0,,825,,,,,"X,R,B",,lmxb
48,XTE J1710-281,TB(?),257.55125000000004,-28.131666666666668,356.4,6.9,,,,,,,,2.0,,816,,,,,"X,R",,lmxb
49,1RX 1711-339,T,258.58,-34.04944444444444,352.1,2.7,,453,,,,,,16.0,,103,,,,,"H,S,R",,lmxb
50,SAX J1712.6-3739,TB,258.14166666666665,-37.64333333333333,348.9,0.94,,,,,,,,34.0,(2-9keV),619,,,,,B,,lmxb
51,3A 1715-321,B,259.6975,-32.17777777777778,354.1,3.1,,1072,,,,,,28.0,,"812,814,1399",,,,,"M,A,H,S",,lmxb
52,1AX 1716-249,T,259.90375,-25.0175,359.8,7.6,V2293 Oph,"305,838",16.65,0.9,,0.9,305,1500.0,(20-100keV),501,14.7,,,838,"Gr,K,C,AS",,lmxb
53,1SAX J171824.2-402934,B,259.6005416666667,-40.49177777777778,347.3,-1.6,,931,,,,,,1400.0,,662,,,,,"R,B",,lmxb
54,XTE J1723-376,TB,260.9083333333333,-37.66166666666666,350.2,-0.86,,,,,,,,70.0,,821,,,,,"X,AS",,lmxb
55,KS 1724-356,,261.9125,-35.73444444444444,352.2,-0.5,,,,,,,,32.0,,611,,,,,K,,lmxb
56,E 1724-307,GBA,261.8883333333333,-30.801944444444445,356.3,2.3,Ter 2,475,,,,1.4,"10,803",15.0,,"999,1366",,,,,"E,X,AS,B,R",,lmxb
57,4U 1728-337,BA,262.9891666666666,-33.834722222222226,354.3,-0.2,,469,,,,3.5,527,150.0,,"1366,1399",,,,,"U,M,A,H,S,C,X",,lmxb
58,1M 1728-169,A,262.93416666666667,-16.961666666666666,8.5,9.0,V2216 Oph,"328,447",16.8,0.3,-0.7,0.3,"954,1123",300.0,,1399,4.2,,,"529,1123","U,M,A,H,S",,lmxb
59,1M 1728-247,P,263.0091666666667,-24.745555555555555,1.9,4.8,V2116 Oph,328,19.0,,,1.7,"288,289",100.0,,1399,340.0,,114.0,"276,943","U,M,A,H,S",,lmxb
60,KS 1730-312,T,263.3833333333334,-31.216666666666665,356.3,1.6,,,,,,,,900.0,,94,,,,,"K,Gr",,lmxb
61,1EXO 1730-335,GBT,263.35041666666666,-33.38777777777778,354.8,-0.2,Lil 1,"475,767",,,,3.0,"10,803",0.1,,"465,1215",,,,,"S,X,AS,Exo",,lmxb
