Id,Name,Type,RA,DE,GLON,GLAT,Opt,r_Opt,Vmag,B-V,U-B,E(B-V),r_Vmag,Fx,Range,r_Fx,Porb,Porb2,Ppulse,r_Ppulse,Cat,SpType,class
163,RX J0053.8-7226,TP,13.479166666666666,-72.44638888888889,302.7,-44.7,,,,,,,,1.4,,132,139.0,,46.63,"132,425","X,R",B1V,hmxb
164,1SAX J0054-720,TP,13.65,-72.06666666666666,302.6,-45.0,,,,,,,,3.8,,428,,,169.3,428,"X ,B",,hmxb
165,XTE J0055-724,TP,13.734041666666666,-72.441,302.6,-44.7,Be star,"621,657",15.28,-0.04,-0.78,0.06,"104,279,621",1.0,,458,65.0,,58.969,"429,458,610","X,B,R,E",B0-B1III-V,hmxb
166,1RX J0058-72.0,P,14.451666666666666,-72.045,302.2,-45.0,,,,,,,,0.1,(0.7-10 keV),788,,,280.4,788,"AS,R",,hmxb
167,RX J0058.2-7231,,14.552916666666667,-72.5125,302.2,-44.6,Be star,621,15.0,,,,621,,,,,,,,R,Be,hmxb
168,RX J0059.2-7138,TUP,14.797083333333333,-71.64583333333334,302.1,-45.4,Be star,650,14.1,0.11,,0.03,650,3.0,(0.2-2 keV),299,,,2.7632,299,"R,E",B1IIIe,hmxb
169,RX J0101.0-7206,T,15.254583333333333,-72.11583333333333,301.9,-45.0,Be star,657,,,,,,0.1,,354,,,,,"R,E",Be,hmxb
170,1SAX J0103-722,P,15.807916666666667,-72.1538888888889,301.6,-44.9,Be star,300,14.8,0.089,,0.23,"104,300",0.01,(0.2-2 keV),"300,334",,,345.2,334,"R,A,B",O9-B1(III-V),hmxb
171,1H 0103-762,T,17.275416666666665,-74.74444444444444,301.9,-41.1,Be star,,17.0,,,0.03,698,2.3,,781,,,,,"H,V,R",Be,hmxb
172,AX J0105-722,TP,16.28708333333333,-72.19555555555556,301.4,-44.9,,203,,,,,,0.1,,203,,,3.343,789,"AS,R",,hmxb
173,RX J0106.2-7205,,16.562916666666666,-72.09027777777777,301.3,-45.0,Be star,300,16.7,,,0.05,300,0.005,(0.2-2 keV),300,,,,,R,B2-B5 III-Ve,hmxb
174,XTE J0111.2-7317,TP,17.785,-73.27944444444444,301.0,-43.7,Be star,113,15.32,0.08,,,113,15.0,,87,,,31.0294,86,"X,AS,C",B0-2III-Ve,hmxb
175,3A 0114+650,P,19.511666666666667,65.28861111111111,125.7,2.6,V662 Cas,177,11.0,1.2,0.1,1.4,"3,148",4.0,,63,11.6,,10008.0,"148,210,785","A,S,X",B0.5Ib,hmxb
176,4U 0115+634,TP,19.63291666666667,63.74,125.9,1.0,V635 Cas,347,14.5,1.4,0.3,1.7,"345,473,513",2.0,,63,24.3,,3.61,"508,569","U,M,H,S,C,X",B0.2V,hmxb
177,3U 0115-737,P,19.271666666666665,-73.44305555555556,300.4,-43.6,Sk 160,609,13.3,-0.14,-0.98,0.03,"312,753",0.5,,63,3.89,,0.71,"508,566,623","U,M,A",B0Ib,hmxb
178,RX J0117.6-7330,TP,19.4225,-73.51361111111112,300.4,-43.5,Be star,,14.19,-0.07,,0.03,"90,649",10.0,,439,,,22.07,439,"C,R",B0.5IIIe,hmxb
179,RX J0146.9+6121,,25.885833333333334,61.10722222222223,129.2,-1.2,LS I+61 235,267,11.33,0.82,-0.39,0.87,"143,410,579,640",1.0,(0.1-2.4 keV),499,,,1404.2,254,"R,AS,X,B",B1Ve,hmxb
180,1E 0236+610,,40.13166666666667,61.22916666666667,135.7,1.1,LS I+61 303,"70,267",10.7,0.8,-0.3,0.75,"180,308,600",0.2,(0.2-5 keV),48,26.45,,,677,E,B0e,hmxb
181,EXO 0331+530,TP,53.749583333333334,53.17305555555555,146.1,-2.2,BQ Cam,381,15.1,1.6,,1.9,"128,290,513",0.5,,"655,683",34.25,,4.4,"508,655,771","V,T,Exo",O8.5Ve,hmxb
182,4U 0352+309,P,58.84583333333333,31.045833333333334,163.1,-17.1,X Per,64,6.0,0.29,-0.82,0.4,"311,434,489,639",9.0,,63,580.0,,835.0,"306,508","U,M,A,H,S",B0III-Ve,hmxb
183,XTE J0421+560,T,64.94166666666666,55.99,149.2,4.1,CI Cam,,9.25,1.0,-0.4,0.8,"100a,323",2000.0,,"40,523",,,,,"X,B,C,AS",--,hmxb
184,RX J0440.9+4431,P,70.24958333333333,44.530833333333334,159.8,-1.3,BSD 24-491,142,10.78,0.61,-0.36,,500,1.0,,577,,,202.5,577,"R,X",B0V-IIIe,hmxb
185,RX J0501.6-7034,,75.34958333333334,-70.55916666666667,281.9,-34.5,Be star,618,14.5,-0.07,,,618,,,,,,,,"E,R",B0e,hmxb
186,1E J0502.9-6626,TP,75.71499999999999,-66.44027777777778,277.0,-35.4,Be star,618,14.22,-0.1,,,617,5.7,,619,,,4.0635,619,"E, R",B0e,hmxb
187,RX J0512.6-6717,,78.17416666666666,-67.28972222222222,277.8,-34.3,,,,,,,,,,,,,,,R,,hmxb
188,RX J0516.0-6916,T,79.00041666666667,-69.26916666666666,280.1,-33.6,star 2,141,15.0,-0.1,-0.9,,141,0.07,,141,,,,,R,B1e,hmxb
189,RX J0520.5-6932,T,80.12624999999998,-69.53444444444445,280.3,-33.2,Be star,618,14.4,,,,618,,,,,,,,R,O8e,hmxb
190,1H 0521+373,,80.64666666666666,37.67611111111111,170.0,0.7,HD34921,646,7.51,0.14,-0.86,0.42,"78,555,599",1.0,,"215, 781",,,,,"U,H",B0IVpe,hmxb
191,RX J0529.8-6556,TP,82.45166666666667,-65.9475,275.9,-32.9,GSC 8891.0213,253,,,,,253,0.17,,253,,,69.5,253,R,B2III-Ve,hmxb
192,EXO 053109-6609.2,TP,82.80416666666666,-66.11833333333333,276.2,-32.7,,,,,,0.1,265,1.0,,265,25.4,,13.7,165,"Exo,SL,B,R",Be?,hmxb
193,RX J0531.5-6518,,82.90041666666667,-65.30444444444444,275.1,-32.7,,250,,,,,,,,,,,,,R,,hmxb
194,4U 0532-664,P,83.205,-66.37055555555555,276.3,-32.5,Sk-Ph,93,14.0,-0.1,-1.1,0.1,"280,365,431",3.0,,63,1.4,,13.5,"365,508","U,M,A,H,AS,G,R",O7III-V,hmxb
195,RX J0532.4-6535,,83.10541666666667,-65.58583333333333,275.4,-32.6,RGC 36,,,,,,575,0.01,(0.1-2.4 keV),250,,,,,R,,hmxb
196,RX J0532.5-6551,V,83.13583333333332,-65.86133333333333,275.7,-32.6,Sk-65 66,609,12.3,,,,609,0.03,(0.1-2.4 keV),253,,,,,R,OB,hmxb
197,RX J0535.0-6700,T,83.77458333333333,-67.00444444444445,277.1,-32.2,RGC 28,575,18.1,,,,575,0.04,(0.1-2.4 keV),250,241.0,,,575,R,Be?,hmxb
198,1A 0535-668,PT,83.91875,-66.86472222222221,276.9,-32.2,*Q,"89,350",12.3,0.1,-0.9,0.1,"89,167,431,528",0.01,,63,16.7,,0.069,"508,636",A,B2 III-Ve,hmxb
199,3A 0535+262,TP,84.72749999999999,26.315833333333334,181.4,-2.6,V725 Tau,414,8.9,0.45,-0.54,0.8,"225,449,653,660",3.0,,63,111.0,,104.0,"508,561","U,A,H",O9.7IIIe,hmxb
200,RX J0535.8-6530,,83.97416666666666,-65.50944444444444,275.3,-32.3,,,,,,,,0.5,(0.1-2.4 keV),250,,,,,R,,hmxb
201,4U 0538-641,U,84.73499999999999,-64.08361111111111,273.6,-32.1,*1,716,16.7,-0.2,-0.6,0.1,"136,431,708",1.7,,63,1.7,,,136,"U,M,A,H,F,X",B3 Ve,hmxb
202,4U 0540-697,U,84.91125,-69.74333333333334,280.2,-31.5,*32,"135,181",14.5,0.29,-0.7,0.37,"47,318",3.0,,63,4.22,,,322,"U,M,A,H,X",O7-9 III,hmxb
203,RX J0541.4-6936,,85.34250000000002,-69.60805555555555,280.0,-31.4,Sk-69 271,612,12.01,0.0,,,"335,603",,,,,,,,R,B2 SG,hmxb
204,RX J0541.5-6833,,85.40458333333333,-68.54222222222222,278.8,-31.4,LMC BI267,,14.02,-0.03,-1.04,,74,,,,,,,,R,OB0,hmxb
205,H 0544-665,,86.06458333333333,-66.56388888888888,276.5,-31.4,*1,349,15.4,-0.2,-0.96,0.1,"431,715",1.8,,349,,,,,H,B1Ve,hmxb
206,1SAX J0544.1-710,TP,86.02625,-71.01388888888889,281.6,-31.0,Be star,151,15.33,0.13,,0.32,151,0.14,(2-10 keV),151,,,96.08,151,"B, R, E",Be,hmxb
207,1H 0556+286,,88.97791666666666,28.785,181.3,1.9,HD249179,,9.2,,,,"557,698",1.1,,781,,,,,H,B5ne,hmxb
208,1SAX J0635+0533,P,98.82249999999999,5.555805555555556,206.1,-1.0,,352,12.83,0.98,,1.2,352,0.55,,352,,,0.0338,152,B,B2V-B1IIIe,hmxb
209,RX J0648.0-4419,P,102.01916666666666,-44.31511111111111,253.7,-19.1,HD49798,329,8.27,-0.24,-1.18,,344,0.03,,,1.55,,13.1789,"329,684","R,B",sdO6,hmxb
210,3A 0726-260,TP,112.22250000000001,-26.10777777777778,240.3,-4.1,star,654,11.6,0.3,-0.6,0.6,"515,654",1.2,,"743,781",34.5,,103.2,131,"U,A,E,H,R,X",O8-9Ve,hmxb
211,1H 0739-529,,116.84791666666666,-53.33277777777778,266.4,-13.7,HD63666,646,7.62,0.02,-0.24,,"293,437,518,698",0.7,,781,,,,,H,B7IV-Ve,hmxb
212,1H 0749-600,,119.06583333333334,-61.099722222222226,274.0,-16.2,HD65663,646,6.73,0.05,-0.25,0.09,"153,154,698",0.7,,781,,,,,H,B8IIIe,hmxb
213,RX J0812.4-3114,TP,123.11833333333333,-31.247500000000002,249.6,1.6,LS 992,500,12.42,0.41,-0.69,,500,0.6,,500,80.0,,31.8851,"125,577","R,X",B0.5V-IIIe,hmxb
214,GS 0834-430,TP,128.97916666666669,-43.184999999999995,262.0,-1.5,star   *D,334a,20.4,,,4.0,334a,30.0,,239,110.0,,12.3,"239,773","Gr,R,K,G,C",B0-2III-Ve,hmxb
215,1M 0900-403,P,135.52875,-40.55472222222222,263.1,3.9,HD77581,213,6.9,0.47,-0.51,0.7,"183,495,518,717",2.0,,63,8.96,,283.0,"162,508,711","U,M,A,H,B,X,AS,R",B0.5Ib,hmxb
216,GRO J1008-57,TP,152.44166666666666,-58.29222222222222,283.0,-1.8,star,109,15.27,-1.66,,1.9,"109,587",1200.0,,663,135.0,,93.5,"550,635,663","C,R,AS,Exo",O9-B1,hmxb
217,E 1024.0-5732,P,156.48583333333335,-57.81166666666666,284.5,-0.2,Wack 2134,686,12.7,1.5,,1.8,81,1.0,(0.2-4.5 keV),81,,,0.061,81,E,O5:,hmxb
218,3A 1036-565,,157.59375,-57.0775,284.6,0.7,HD91188,646,6.64,-0.1,-0.56,,"221,518",3.3,,743,,,,,A,B4IIIe,hmxb
219,RX J1037.5-5647,P,159.39666666666668,-56.79972222222222,285.4,1.5,LS 1698,500,11.3,0.9,,0.75,500,0.17,,577,,,862.0,577,R,B0V-IIIe,hmxb
220,E 1048.1-5937,P,162.5329166666667,-59.88777777777778,288.2,-0.5,,477,,,,,,0.1,,632,,,6.44,"124,632",E,,hmxb
221,1A 1118-615,PT,170.23833333333334,-61.91611111111111,292.5,-0.9,He3-640,339,12.1,0.96,-0.3,1.2,339,0.1,,"63, 497",,,405.0,508,A,O9.5 III-Ve,hmxb
222,4U 1119-603,P,170.3133333333333,-60.623333333333335,292.1,0.3,V779 Cen,"72,394",13.3,1.07,-0.04,1.4,"315,394,586",10.0,,63,2.09,,4.84,"366,508","U,M,A,H",O6.5 II-III,hmxb
223,4U 1145-619,PT,177.00041666666667,-62.206944444444446,295.6,-0.2,Hen 715,64,9.3,0.18,-0.81,0.35,"195,518,746",4.0,,63,187.5,,292.4,"508,748","U,M,A,H,S",B1Vne,hmxb
224,E 1145.1-6141,P,176.86916666666667,-61.95388888888889,295.5,-0.0,V830 Cen,316,13.1,1.5,0.15,1.6,"166,325",4.0,,316,5.65,,298.0,"325,508","A,E,C",B2Iae,hmxb
225,4U 1223-624,PT,186.65666666666667,-62.77027777777778,300.1,-0.0,BP Cru,64,10.8,1.76,0.42,1.8,"59,260,688,734",9.0,,63,41.59,,696.0,"508,613","U,M,A,H,S,AS,C",B1-1.5Ia,hmxb
226,3A 1239-599,P,190.50708333333333,-60.20166666666667,301.8,2.6,,177,,,,,,3.0,,"63,743,781",,,191.0,297,"A,H,S",,hmxb
227,1A 1244-604,T,191.89583333333334,-60.64333333333333,302.5,2.2,,,,,,,,24.0,,82,,,,,A,,hmxb
228,4U 1246-588,T,192.4,-59.12166666666667,302.7,3.8,,,,,,,,24.0,,82,,,,,"U,A,H",,hmxb
229,1H 1249-637,,190.70999999999998,-63.05888888888889,302.0,-0.2,HD110432,646,5.31,0.27,-0.79,0.4,"103,518",2.2,,781,,,,,H,B0IIIe,hmxb
230,1H 1253-761,,189.8125,-75.36999999999999,302.1,-12.5,HD109857,646,6.49,0.08,-0.24,0.2,"103,518",0.6,,781,,,,,H,B7Vne,hmxb
231,1H 1255-567,,193.6541666666667,-57.16833333333333,303.4,5.7,{mu}^2^ Cru,,5.17,-0.12,-0.51,0.04,"518,639",0.8,,781,,,,,H,B5Ve,hmxb
232,1M 1258-613,PT?,195.32166666666666,-61.60194444444445,302.1,1.2,V 850 Cen,465,13.5,1.7,0.8,2.0,"127,256,538",0.3,,"63,554",133.0,,272.0,"508,562","U,M,A,S",B2Vne,hmxb
233,SAX J1324.4-6200,P,201.10958333333335,-62.014722222222225,306.8,0.61,,,,,,,,0.4,,13,,,170.84,13,"B,AS,Exo,E",,hmxb
234,3A 1417-624,PT,215.30374999999998,-62.69833333333333,313.0,-1.6,*7,18,17.2,0.7,0.8,2.0,244,2.0,,63,42.12,,17.6,"207,508","U,M,A,S,C",OBe,hmxb
235,SAX J1452.8-5949,P,223.20541666666668,-59.82166666666667,317.6,-0.44,,,,,,,,0.04,,522,,,437.4,522,B,,hmxb
236,4U 1538-522,P,235.5970833333333,-52.38611111111111,327.4,2.1,QV Nor,17,14.4,1.9,0.6,2.1,"147,324,537",3.0,,63,3.73,,529.0,"114,508","U,M,A,H,S",B0Iab,hmxb
237,1SAS-3 1553-542,P,239.455,-54.41444444444444,327.9,-0.9,,17,,,,,,27.0,,63,30.6,,9.3,"367,508",S,,hmxb
238,1H 1555-552,,238.59166666666667,-55.32888888888889,327.0,-1.2,HD141926,646,8.6,0.56,-0.43,,"193,293",1.7,,781,,,,,H,B2nne,hmxb
239,1SAX 1657-415,P,255.19958333333332,-41.67305555555555,344.4,0.3,star,21,,,,,84,4.0,,63,10.4,,38.0,"84,205,508","OAO,B",B0-B6Ia-Iab,hmxb
240,4U 1700-377,,255.98625,-37.844166666666666,347.8,2.2,HD153919,351,6.6,0.27,-0.72,0.52,"259,263,547,778",11.0,,63,3.41,,,"67,251,728","U,M,S,Gro,C,B",O6.5f,hmxb
241,1AX J170006-4157,P,255.02208333333334,-41.96222222222222,344.0,0.25,,,,,,,,0.4,,691,,,714.5,691,AS,,hmxb
242,EXO 1722-363,P,261.4791666666667,-36.41166666666666,351.5,-0.6,,,,,,,,0.2,,"672,676",,,413.0,"508,676",Exo,,hmxb
243,XTE J1739-302,T,264.7208333333333,-30.26,358.1,0.56,,,,,,,,136.0,(2-25 keV),645,,,,,X,,hmxb
244,1XTE J1739.5-2942,,264.87541666666664,-29.701944444444443,358.6,-0.74,,,,,,,,,,,,,,,"X, C",,hmxb
245,RX J1744.7-2713,,266.18916666666667,-27.22972222222222,1.36,1.1,HD161103,,8.4,0.44,-0.64,,,0.06,,,,,,,R,B2V-IIIe,hmxb
246,AX J1749.2-2725,TP,267.2920833333333,-27.421111111111113,1.7,0.1,,,,,,,,1.36,,690,,,220.38,690,AS,,hmxb
247,GRO J1750-27,P,267.3,-26.647222222222222,2.4,0.5,,,,,,,,27.0,,777,29.8,,4.45,"176,627","C,AS",,hmxb
248,4U 1807-10,T,272.675,-10.866666666666667,18.6,3.9,,,,,,,,2.0,,215,,,,,U,,hmxb
249,AX J1820.5-1434,P,275.12291666666664,-14.573333333333332,16.5,0.07,,,,,,,,1.0,,376,,,152.26,376,AS,,hmxb
250,RX J1826.2-1450,,276.56208333333336,-14.84138888888889,17.9,-1.29,LS 5039,500,11.23,0.94,-0.16,0.8,500,0.3,,500,,,,,R,O7V((f)),hmxb
251,H 1833-076,PT,279.12041666666664,-7.605833333333333,24.5,-0.2,,237,,,,,,1.6,,"388,563,743",,,111.0,"392,508","A,H",,hmxb
252,GS 1839-06,T,280.425,-5.85,26.6,-0.5,,,,,,,,1.0,,388,,,,,G,,hmxb
253,GS 1839-04,PT,280.45,-4.45,27.9,0.1,,,,,,,,2.5,,388,,,81.1,388,G,,hmxb
254,GS 1843+009,PT,281.375,0.95,33.1,1.7,,,,,,,,0.4,,388,,,29.5,388,"G,C,X,B",,hmxb
255,GS 1845-03,T,281.85,-3.15,29.7,-0.5,,,,,,,,1.0,,388,,,,,G,,hmxb
256,3A 1845-024,PT,282.07375,-2.4202777777777778,30.4,-0.4,,237,,,,,,1.0,,"63,388",241.0,,94.8,"792,388","A,H,S,G,C,B",,hmxb
257,AX 1845.0-0433,T,281.92083333333335,-4.503333333333333,28.8,-1.22,,111,13.96,2.2,1.04,2.45,111,45.0,(0.7-10 keV),786,,,,,AS,O9.5I,hmxb
258,GS 1855-02,PT,284.5,-2.7333333333333334,31.3,-2.7,,,,,,,,2.0,,388,,,,,G,,hmxb
259,XTE J1855-026,P,283.925,-2.6166666666666667,31.1,-2.15,,,,,,,,6.0,,460,6.1,,361.0,"134,460",X,,hmxb
260,XTE J1858+034,TP,284.65,3.35,36.7,-0.07,,,,,,,,25.0,,582,,,221.0,670,X,,hmxb
261,1RXS J190411.9+031210,T,286.05,3.175,37.2,-1.4,,,,,,,,2.0,,115,,,,,,,hmxb
262,1XTE J1906+09,P,286.3333333333333,9.041666666666666,42.6,1.04,,,,,,,,0.7,,457,,,89.17,457,X,,hmxb
263,4U 1907+097,PT,287.40791666666667,9.830277777777777,43.7,0.5,star,625,16.4,3.2,,3.3,"625,718",4.0,,63,8.38,,438.0,"441,508","U,M,A,H",BI,hmxb
264,4U 1909+048,,287.9566666666667,4.982777777777778,39.7,-2.2,SS433,407,14.2,2.1,0.6,2.6,"450,507,740",2.0,,63,13.1,,,145,"U,A,H,G",pec,hmxb
265,1H 1936+541,,293.2179166666667,53.87916666666667,85.9,15.9,DM+53 2262,,9.8,,,,698,0.7,,781,,,,,H,Be,hmxb
266,XTE J1946+274,TP,296.4083333333333,27.360555555555557,63.2,1.38,,,,,,,,1.0,(2-60 keV),"666,743",80.0,,15.8,"80,644","A,X,B",,hmxb
267,KS 1947+300,T,297.3983333333333,30.20861111111111,66.1,2.1,*3,238,14.2,0.9,-0.3,1.1,"234,238",10.0,,60,,,,,K,,hmxb
268,GRO J1948+32,P,297.0,32.0,64.9,1.8,,,,,,,,27.0,(20-75 keV),85,35.0,70.0,18.7,85,C,,hmxb
269,4U 1954+319,,298.9304166666667,32.100833333333334,68.4,1.9,,119,,,,,,1.5,,"119,743",,,,,"U,A",,hmxb
270,1M 1956+350,U,299.59041666666667,35.20166666666667,71.3,3.1,HD226868,568,8.9,0.84,-0.26,1.06,"116,158,518",235.0,,63,5.0,,,227,"U,M,A,H,X,G,C",O9.7Iab,hmxb
271,EXO 2030+375,PT,308.06375,37.6375,77.2,-1.3,*2,"107,496",19.7,3.3,,3.8,"107,496",0.5,,541,46.0,,41.8,"508,541,662","Exo,C,B,X,AS",B0,hmxb
272,1M 2030+407,,308.1070833333334,40.95777777777778,79.9,0.7,V1521 Cyg,741,,,,6.3,"493,719,741",90.0,,63,0.2,,,543,"U,M,A,H,CX",Wolf-Rayet,hmxb
273,RX J2030.5+4751,,307.6275,47.86277777777778,85.2,5.02,SAO 49725,500,9.27,0.38,-0.65,,500,0.04,,500,,,,,R,B0.5V-IIIe,hmxb
274,GRO J2058+42,TP,314.75,41.71666666666667,83.5,-2.75,,83,,,,,,320.0,,775,110.0,,198.0,775,"C, X",,hmxb
275,SAX J2103.5+4545,P,315.8875,45.75,87.1,0.71,,,,,,,,20.0,,34,12.68,,358.61,"34,301","B,X",,hmxb
276,1GS 2138+568,PT,324.89166666666665,57.059999999999995,99.0,3.3,star,,,,,,53a,6.0,,391,,,66.2,"391,508","M,H,G",B1,hmxb
277,1H 2202+501,,330.40916666666664,50.16777777777777,97.3,-4.0,DM+49 3718,646,8.8,,,,698,0.7,,781,,,,,H,Be,hmxb
278,4U 2206+543,,331.9875,54.51833333333333,100.6,-1.1,star,654,9.9,0.2,-0.6,0.5,654,0.6,,"743,781",,,392.0,611,"U,M,A,H",B1e,hmxb
279,1H 2214+589,,336.6379166666666,61.238055555555555,106.4,3.1,GG3 71,233,11.0,,,,"264,698",0.5,,781,,,,,H,B[e,hmxb
280,SAX J2239.3+6116,T,339.8370833333333,61.27411111111111,107.7,2.3,star,327a,15.1,1.4,,1.4,327a,16.0,,327a,262.0,,,327a,"B,A,U,X",B0V-B2IIIe,hmxb
