Id,Name,RA,DE,B-V,Cat,class,E(B-V),Fx,GLAT,GLON,Opt,Porb,Porb2,Ppulse,Range,SpType,Type,U-B,Vmag,r_Fx,r_Opt,r_Ppulse,r_Vmag,Papers
122,1M 1811-171,273.629583333333,-17.1572222222222,,"U,M,A,H,S,X",lmxb,5.7,350,0.1,13.5,IR star,592.8,,,,,AB,,,"1399,1448",328447952,241,167,
123,4U 1812-12,273.8,-12.0833333333333,,"M,A,H,B",lmxb,,15,2.3,18.1,,,,,,,B,,,"1399,1448",,,,
124,1M 1813-140,274.005833333333,-14.0363888888889,1.3,"U,M,A,H,S,Exo",lmxb,2.5,700,1.3,16.4,NP Ser,,,,,,ZB,1,17.5,1399,328447952,,"807,1131,1254","18, 43, 47"
125,SAX J1819.3-2525,274.8395,-25.4266666666667,,"B,X",lmxb,0.24,1,-4.79,6.75,V4641 Sgr,,,,(2-12 keV),,T,,8.8,1189,436,,"1224,1388",
126,4U 1820-303,275.919166666667,-30.3613888888889,,"U,M,A,H,S,X,B,R",lmxb,0.3,250,-7.9,2.8,NGC 6624,0.19,,,,,GBA,,,"1366,1399",475,1213,"674,1317",
127,4U 1822-371,276.445,-37.1052777777778,0.1,"U,M,A,H,B",lmxb,0.15,10,-11.3,356.9,V691 CrA,5.57,,,,,D,-0.9,15.3,"872,1448",463,"842,1415",840841842,
128,4U 1822-000,276.342083333333,-0.012222222222222,1,"U,M,A,H,S",lmxb,1.3,25,5.8,29.9,star,,,,,,,,22,103,195447,,191527,
129,GS 1826-238,277.3625,-23.7913888888889,0.4,"G,B,X",lmxb,,30,-6,9.3,,,,,,,TB,-0.5,19,611793,930,,930,
130,XB 1832-330,278.933333333333,-32.9819444444444,,"R,X,AS",lmxb,0.1,8,-11.4,1.5,NGC 6652,,,,(0.5-2 keV),,GB,,,1052,,,1405,
131,1M 1837+049,279.989583333333,5.03583333333333,,"U,M,A,H,S",lmxb,0.04,225,4.8,36.1,MM Ser,,,,,,B,-0.5,,"1059,1399","447,1285",,"1142,1285",
132,EXO 1846-031,282.32125,-3.06222222222222,,Exo,lmxb,,300,-0.9,29.9,,,,,,,TU,,,1002,1002,,,
133,4U 1850-087,283.270416666667,-8.70555555555556,0.2,"U,A,H,S,B",lmxb,0.42,7,-4.3,25.4,NGC 6712,0.343,,,,,GB,-0.9,21,"999,1366,1399",21263447,580,263956,
134,XTE J1856+053,284.1625,5.33,,"X,C",lmxb,,70,1.26,38.27,,,,,,,T,,,824,,,,
135,XTE J1859+226,284.67325,22.6581666666667,0.34,"X,C,B",lmxb,0.58,600,8.59,54.05,,,,,,,T,-0.65,15.31,281,412,,"176,596,961,1394",1
136,4U 1905+000,287.1125,0.168888888888889,0.5,"U,A,H,S",lmxb,0.5,10,3.7,35,star,,,,,,B,-0.5,20.5,"188,1399",194447,,194,
